Player Name;Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ;Match Report
Ryan Gravenberch;2023-12-03;Sun;Matchweek 14;Home;W 4–3;Liverpool;Fulham;Y;LM;82;0;0;0;0;2;1;0;0;59;2;1;2;0.0;0.0;0.1;2;0;32;44;72.7;6;36;5;4;0;Match Report
Ryan Gravenberch;2023-12-06;Wed;Matchweek 15;Away;W 2–0;Liverpool;Sheffield Utd;N;FW;5;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.0;0;0;2;4;50.0;0;1;0;0;0;Match Report
Ryan Gravenberch;2023-12-09;Sat;Matchweek 16;Away;W 2–1;Liverpool;Crystal Palace;Y;LM;56;0;0;0;0;1;0;0;0;41;0;0;0;0.0;0.0;0.0;0;0;21;30;70.0;1;29;0;2;1;Match Report
Ryan Gravenberch;2023-12-17;Sun;Matchweek 17;Home;D 0–0;Liverpool;Manchester Utd;Y;LM;60;0;0;0;0;2;0;0;0;33;1;0;0;0.4;0.4;0.1;6;0;21;25;84.0;4;21;4;1;1;Match Report
Ryan Gravenberch;2023-12-23;Sat;Matchweek 18;Home;D 1–1;Liverpool;Arsenal;N;LM;23;0;0;0;0;0;0;0;0;18;2;0;1;0.0;0.0;0.0;1;0;8;12;66.7;4;12;2;1;0;Match Report
Ryan Gravenberch;2023-12-26;Tue;Matchweek 19;Away;W 2–0;Liverpool;Burnley;Y;LM;65;0;0;0;0;1;1;0;0;39;1;0;1;0.1;0.1;0.0;2;0;26;30;86.7;4;25;2;3;0;Match Report
Ryan Gravenberch;2024-01-01;Mon;Matchweek 20;Home;W 4–2;Liverpool;Newcastle Utd;N;RM;27;0;0;0;0;1;0;0;0;14;0;1;0;0.0;0.0;0.2;2;0;9;9;100.0;3;9;0;0;0;Match Report
Ryan Gravenberch;2024-01-21;Sun;Matchweek 21;Away;W 4–0;Liverpool;Bournemouth;N;RM;27;0;0;0;0;1;0;0;0;16;1;1;0;0.0;0.0;0.0;1;0;6;9;66.7;0;8;0;3;2;Match Report
Ryan Gravenberch;2024-02-04;Sun;Matchweek 23;Away;L 1–3;Liverpool;Arsenal;Y;RM;57;0;0;0;0;0;0;0;0;22;0;0;0;0.0;0.0;0.0;0;0;12;14;85.7;1;11;1;4;2;Match Report
Ryan Gravenberch;2024-02-17;Sat;Matchweek 25;Away;W 4–1;Liverpool;Brentford;N;LM;57;0;0;0;0;0;0;0;0;46;3;0;0;0.0;0.0;0.0;1;0;31;38;81.6;5;29;4;3;2;Match Report
Ryan Gravenberch;2024-02-21;Wed;Matchweek 26;Home;W 4–1;Liverpool;Luton Town;Y;LM;77;0;0;0;0;2;1;0;0;46;5;1;5;0.1;0.1;0.1;3;0;23;27;85.2;7;23;1;2;1;Match Report
